address,city,city_slug,country,currency,delivers,delivery_price,delivery_price_int,estimate_max,estimate_min,franchise,id,item_currency,item_description,item_has_options,item_id,item_name,item_price,item_tags,item_vat_percentage,location_lat,location_lon,name,online,price_range,product_line,rating_count,rating_score,restaurant_id,restaurant_name,restaurant_slug,short_description,slug,tags
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,,False,7b5cabaa29c672386c0fb380,Briosh me Krem,11000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,,False,8b5aa13d73c95b87f035ea5a,Petull me Custard,11000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,,False,8e8e3c1c25856477c7a4b744,Coca Cola,18000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,,True,8edef6bcc69c07369bca2f3b,Ujë,9000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,"Krem djathi, milano, ullinj, sallatë jeshile",False,8f66c4ab15d2015069b951bd,Sanduiç Integral Milano,21000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,,False,9eb27e5de130b58860109455,Petull me Reçel Kajsie,11000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,"Krem djathi, proshutë pule, sallatë, domate",False,a18f55cb7fbeda1f4fa2795a,Sanduiç Integral me Pulë,21000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,,False,a1960781be8f29ceb78e553b,Qumësht,12000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,"Majonezë, djathë, proshutë cotto, rucola, domate",False,aa7d89941e2eda3018c63987,Fokace Cotto,21000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,,False,b096049310b121fb72a80ca1,Briosh me Fruta Pylli,11000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
