restaurant_id,restaurant_name,restaurant_slug,city,item_id,item_name,item_description,item_price,item_currency,item_tags,item_has_options,item_vat_percentage
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,5bd5b300930a8a7d56f770f3,Salcë Kosi,,25000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,5c3f99a23bb96abb881e9ec0,Qofte,,20000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,5ee48e54eba2d764f6e3eabc,Speca të Mbushur,,35000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,5ff4e546b5508aac62c300f2,Supë Pule & Pilaf & Fileto Pule,,45000,ALL,"{""id"": ""popular"", ""label"": ""Populyar"", ""decoration"": ""star"", ""color"": ""primary"", ""style"": {""background_color"": ""#009de0"", ""text_color"": ""#ffffff""}}",False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,65f1e013ff50c97c035b068f,Presh me Mish,,45000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,66abe6639e62b9f0c853719d,Ullinj,,15000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,715333c417a3f8933f58aa39,Paçe,,30000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,79b41b4624efd209c306731d,Birra Tirana,,23000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,82090e967c6eaba2d78665aa,Patate Furre me Gjysmë Pule,,55000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,888c9be0f7db920743ef2313,Lakër me Mish,,45000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,92cdff65d138050cbc63c51e,Gjellë me Patate me Mish,,45000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,96f55e75cac99a31f55032a9,Fasule me Mish,,45000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,98491099761e28a8fc716de2,Gjysmë Pule me Pilaf,,50000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,9aa42cc2471a7c828c1caa88,Makarona,,25000,ALL,,False,20
